location,time_point,date,lake,depth..ft,tow..ft,chla..ml,sterivex..ml,TA_mg.L,temp_C,DO_perc,DO_mg.L,spc,cond,pH,DOC_mg.L,TDN_ug.L,TDP_ug.L,chla_ug.L
Sierra Nevada,1,6/25/22,Convict,145,60,420,720,80,13.8,81.6,8.45,166,130.3,5.87,NA,NA,NA,0.26
Sierra Nevada,1,6/26/22,Eastern Brook,18.6,15,300,465,20,13.1,67.3,7.05,20,15.5,6.9,NA,217.44,32.97,0.4
Sierra Nevada,1,6/26/22,Serene,23.8,21,300,300,20,14.4,69.5,7.06,17.6,14,6.96,NA,211.83,10.84,1.32
Sierra Nevada,1,6/29/22,Cooney,52.3,42.7,420,1080,40,12.6,80.5,8.36,106.9,81.7,7.96,NA,269.97,57.28,0.45
Sierra Nevada,1,6/29/22,Blue,52,49.2,600,1080,40,12.8,73.8,7.92,97.5,74.7,7.97,NA,137.16,22.6,0.34
Sierra Nevada,1,6/29/22,Virginia,56.3,45,420,780,40,14.5,76,7.68,90.3,72.2,7.88,NA,165.18,4.95,0.685
Sierra Nevada,2,7/7/22,Convict,137,32.8,600,900,100,15.3,84.5,8.4,163.2,137.2,7.14,1.1,NA,4.33,0.275
Sierra Nevada,2,7/6/22,Eastern Brook,29.3,27.3,600,720,20,16,73.8,7.27,20.6,17,8.6,3.4,409.63,13.62,0.915
Sierra Nevada,2,7/6/22,Serene,22.9,23.9,480,660,20,16.8,70,6.6,17.8,15,8.65,3,697.03,4102.48,1.39
Sierra Nevada,2,7/9/22,Cooney,44.5,42.7,600,900,40,14.3,77.5,7.9,109.6,87.1,6.94,1,74.73,9.29,0.315
Sierra Nevada,2,7/9/22,Blue,48.7,42.7,600,900,40,14.8,82.1,8.24,98.7,79.4,7.04,0.9,264.74,149.54,0.43
Sierra Nevada,2,7/9/22,Virginia,55.6,45.9,600,900,40,16.1,80.5,7.79,91.6,76.1,7.32,1.1,872.79,NA,0.6
Sierra Nevada,3,7/22/22,Convict,145,59,600,900,100,18.2,76.7,7.16,164.8,143.5,8.34,0.8,103.23,204.95,0.205
Sierra Nevada,3,7/22/22,Eastern Brook,26,29.5,480,480,40,18.9,74.2,6.86,21,18.5,8.56,3.5,202.99,101.86,1.06
Sierra Nevada,3,7/22/22,Serene,24,26.2,540,360,20,19.7,71.9,6.56,18.5,16.6,8.36,3.1,302.75,48.61,1.12
Sierra Nevada,3,7/21/22,Cooney,44.1,42.7,600,900,40,16.7,76.8,7.43,112.9,95,8.61,1,84.23,369.04,0.415
Sierra Nevada,3,7/21/22,Blue,48,42.7,600,900,40,17,81.3,7.81,100.2,84.9,8.48,0.9,79.48,6.19,0.22
Sierra Nevada,3,7/21/22,Virginia,49.6,42.7,600,900,40,18.7,81.4,7.48,93,81.9,8.48,1.1,217.24,7.74,0.35
Sierra Nevada,4,8/5/22,Convict,141,55.8,600,900,100,18.37,78.9,7.41,178.5,156,8.48,51.9,NA,4.02,0.81
Sierra Nevada,4,8/9/22,Eastern Brook,29.1,26.2,500,550,40,16.04,67.2,6.63,23,19,7.7,3.1,259.99,6.81,1.61
Sierra Nevada,4,8/9/22,Serene,23.2,22.9,500,350,40,16.89,69.2,6.71,20.1,17,7.94,3.1,188.74,6.19,1.575
Sierra Nevada,4,8/4/22,Cooney,44.2,39.4,600,900,20,16.18,74.5,7.33,126.8,105.5,7.77,99.2,5982.29,7.43,0.875
Sierra Nevada,4,8/4/22,Blue,48.2,42.7,600,900,40,16.33,75.6,7.41,110.7,92.3,7.99,1.9,100.86,3.41,0.02
Sierra Nevada,4,8/4/22,Virginia,48.9,42.7,800,900,40,17.68,77.4,7.37,102.1,87.8,8.61,66.6,3228.98,4.02,0.33
Sierra Nevada,5,8/23/22,Convict,136,49.2,400,900,100,20.9,73.1,7.35,172.3,139.8,8.03,2,NA,NA,0.39
Sierra Nevada,5,8/23/22,Eastern Brook,27.9,26.2,500,800,40,18.1,64.8,6.87,27.5,21,8.11,3.2,NA,NA,1.4
Sierra Nevada,5,8/23/22,Serene,23.1,22.9,356,600,40,18.8,67.8,6.97,20.8,16.5,7.9,3,NA,NA,2
Sierra Nevada,5,8/22/22,Cooney,44.5,42.7,600,800,40,17.9,69.8,7.19,177.3,139.8,8.07,31.3,NA,NA,0.005
Sierra Nevada,5,8/22/22,Blue,43.9,42.7,600,800,40,18.5,73.1,7.33,115.1,93.6,7.93,1.1,NA,NA,0.55
Sierra Nevada,5,8/22/22,Virginia,47,42.7,600,800,20,19.5,75.6,7.41,105.4,87.9,8.48,7.7,NA,NA,0.835
