	dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
01_16S	11282	8612	8465	8490	7254	7220	64
02_16S	15367	11439	11166	11035	10311	10211	66.4
03_16S	19052	12954	12655	12466	11761	11636	61.1
04_16S	15484	10749	10523	10407	9828	9730	62.8
05_16S	32439	22288	21569	21288	19073	19049	58.7
06_16S	149560	124055	121291	120758	106022	103234	69
07_16S	28354	19815	19283	19072	17961	17818	62.8
08_16S	12807	5876	5168	5162	2473	2430	19
09_16S	5999	4008	3752	3764	2243	2234	37.2
10_16S	10895	4941	4359	4201	2883	2866	26.3
100_16S	4834	496	323	226	137	129	2.7
101_16S	8801	2921	2595	2520	2070	2061	23.4
102_16S	9407	2001	1423	1170	957	957	10.2
103_16S	9309	1394	1035	742	585	581	6.2
104_16S	16028	8549	8181	7928	7295	7270	45.4
105_16S	2653	234	123	179	60	60	2.3
106_16S	11293	5599	5086	4986	3952	3927	34.8
107_16S	3198	473	360	256	229	228	7.1
108_16S	2653	739	586	555	263	257	9.7
109_16S	4719	1894	1736	1689	1470	1463	31
11_16S	9110	5448	5268	5185	4884	4847	53.2
110_16S	3103	482	321	227	166	166	5.3
111_16S	3559	559	399	279	204	204	5.7
112_16S	3915	675	506	389	301	299	7.6
113_16S	21711	15945	15524	15535	14454	14384	66.3
114_16S	7575	1506	1135	909	392	390	5.1
115_16S	3786	605	436	307	246	240	6.3
116_16S	18505	12349	11931	11732	10892	10832	58.5
117_16S	19644	12451	11612	11450	8623	8599	43.8
118_16S	5290	1211	995	872	757	756	14.3
119_16S	13773	7613	6854	6729	4619	4585	33.3
12_16S	2723	998	891	844	734	729	26.8
120_16S	579330	536964	535501	535369	506409	442121	76.3
121_16S	7112	3744	3354	3469	2526	2512	35.3
122_16S	4687	1137	921	833	678	678	14.5
123_16S	2929	559	385	316	254	253	8.6
124_16S	8214	3554	3008	2965	1902	1893	23
125_16S	3022	667	557	548	440	439	14.5
126_16S	3491	1136	947	875	691	690	19.8
127_16S	22637	17581	17219	17054	16365	16120	71.2
128_16S	6440	3165	2904	2839	2554	2537	39.4
129_16S	1300	175	132	148	97	97	7.5
13_16S	7037	2367	1889	1779	874	869	12.3
130_16S	5156	2414	2295	2270	2075	2072	40.2
