"","reads.in","reads.out"
"MP_01_16S_S1_R1_trimmed.fastq",11282,8710
"MP_02_16S_S2_R1_trimmed.fastq",15367,11594
"MP_03_16S_S3_R1_trimmed.fastq",19052,13088
"MP_04_16S_S4_R1_trimmed.fastq",15484,10948
"MP_05_16S_S5_R1_trimmed.fastq",32439,22683
"MP_06_16S_S6_R1_trimmed.fastq",149560,126285
"MP_07_16S_S7_R1_trimmed.fastq",28354,20160
"MP_08_16S_S8_R1_trimmed.fastq",12807,6158
"MP_09_16S_S9_R1_trimmed.fastq",5999,4137
"MP_10_16S_S10_R1_trimmed.fastq",10895,5179
"MP_100_16S_S100_R1_trimmed.fastq",4834,528
"MP_101_16S_S101_R1_trimmed.fastq",8801,3043
"MP_102_16S_S102_R1_trimmed.fastq",9407,2131
"MP_103_16S_S103_R1_trimmed.fastq",9309,1483
"MP_104_16S_S104_R1_trimmed.fastq",16028,8697
"MP_105_16S_S105_R1_trimmed.fastq",2653,269
"MP_106_16S_S106_R1_trimmed.fastq",11293,5865
"MP_107_16S_S107_R1_trimmed.fastq",3198,519
"MP_108_16S_S108_R1_trimmed.fastq",2653,788
"MP_109_16S_S109_R1_trimmed.fastq",4719,1958
"MP_11_16S_S11_R1_trimmed.fastq",9110,5547
"MP_110_16S_S110_R1_trimmed.fastq",3103,513
"MP_111_16S_S111_R1_trimmed.fastq",3559,601
"MP_112_16S_S112_R1_trimmed.fastq",3915,739
"MP_113_16S_S113_R1_trimmed.fastq",21711,16228
"MP_114_16S_S114_R1_trimmed.fastq",7575,1660
"MP_115_16S_S115_R1_trimmed.fastq",3786,679
"MP_116_16S_S116_R1_trimmed.fastq",18505,12553
"MP_117_16S_S117_R1_trimmed.fastq",19644,13116
"MP_118_16S_S118_R1_trimmed.fastq",5290,1296
"MP_119_16S_S119_R1_trimmed.fastq",13773,8169
"MP_12_16S_S12_R1_trimmed.fastq",2723,1051
"MP_120_16S_S120_R1_trimmed.fastq",579330,541381
"MP_121_16S_S121_R1_trimmed.fastq",7112,3837
"MP_122_16S_S122_R1_trimmed.fastq",4687,1220
"MP_123_16S_S123_R1_trimmed.fastq",2929,615
"MP_124_16S_S124_R1_trimmed.fastq",8214,3717
"MP_125_16S_S125_R1_trimmed.fastq",3022,691
"MP_126_16S_S126_R1_trimmed.fastq",3491,1177
"MP_127_16S_S127_R1_trimmed.fastq",22637,17753
"MP_128_16S_S128_R1_trimmed.fastq",6440,3238
"MP_129_16S_S129_R1_trimmed.fastq",1300,183
"MP_13_16S_S13_R1_trimmed.fastq",7037,2617
"MP_130_16S_S130_R1_trimmed.fastq",5156,2465
"MP_131_16S_S131_R1_trimmed.fastq",14021,10947
"MP_132_16S_S132_R1_trimmed.fastq",8445,6119
"MP_133_16S_S133_R1_trimmed.fastq",5003,2027
"MP_134_16S_S134_R1_trimmed.fastq",2936,904
"MP_135_16S_S135_R1_trimmed.fastq",3731,780
"MP_136_16S_S136_R1_trimmed.fastq",3094,526
"MP_137_16S_S137_R1_trimmed.fastq",7291,3686
"MP_138_16S_S138_R1_trimmed.fastq",11670,5290
"MP_139_16S_S139_R1_trimmed.fastq",8182,5205
"MP_14_16S_S14_R1_trimmed.fastq",12328,8417
"MP_140_16S_S140_R1_trimmed.fastq",4680,1053
"MP_141_16S_S141_R1_trimmed.fastq",9448,5864
"MP_142_16S_S142_R1_trimmed.fastq",4277,555
"MP_143_16S_S143_R1_trimmed.fastq",9208,4051
"MP_144_16S_S144_R1_trimmed.fastq",15778,9336
"MP_145_16S_S145_R1_trimmed.fastq",3791,1092
"MP_146_16S_S146_R1_trimmed.fastq",5467,2182
"MP_147_16S_S147_R1_trimmed.fastq",6014,2325
"MP_148_16S_S148_R1_trimmed.fastq",2592,476
"MP_149_16S_S149_R1_trimmed.fastq",2741,381
"MP_15_16S_S15_R1_trimmed.fastq",8234,3972
"MP_150_16S_S150_R1_trimmed.fastq",5375,2675
"MP_151_16S_S151_R1_trimmed.fastq",6256,2379
"MP_152_16S_S152_R1_trimmed.fastq",4793,1020
"MP_153_16S_S153_R1_trimmed.fastq",2534,1032
"MP_154_16S_S154_R1_trimmed.fastq",1882,244
"MP_155_16S_S155_R1_trimmed.fastq",2030,240
"MP_156_16S_S156_R1_trimmed.fastq",5898,4045
"MP_157_16S_S157_R1_trimmed.fastq",7099,5311
"MP_158_16S_S158_R1_trimmed.fastq",5935,2734
"MP_159_16S_S159_R1_trimmed.fastq",2541,871
"MP_16_16S_S16_R1_trimmed.fastq",2462,250
"MP_160_16S_S160_R1_trimmed.fastq",4409,1339
"MP_161_16S_S161_R1_trimmed.fastq",5055,3941
"MP_162_16S_S162_R1_trimmed.fastq",2283,417
"MP_163_16S_S163_R1_trimmed.fastq",5250,3116
"MP_164_16S_S164_R1_trimmed.fastq",2232,443
"MP_165_16S_S165_R1_trimmed.fastq",1590,233
"MP_166_16S_S166_R1_trimmed.fastq",2233,368
"MP_167_16S_S167_R1_trimmed.fastq",2961,615
"MP_168_16S_S168_R1_trimmed.fastq",2886,713
"MP_169_16S_S169_R1_trimmed.fastq",4793,2440
"MP_17_16S_S17_R1_trimmed.fastq",25606,21572
"MP_170_16S_S170_R1_trimmed.fastq",8941,5803
"MP_171_16S_S171_R1_trimmed.fastq",4488,2538
"MP_172_16S_S172_R1_trimmed.fastq",7568,2874
"MP_173_16S_S173_R1_trimmed.fastq",2832,356
"MP_174_16S_S174_R1_trimmed.fastq",3453,660
"MP_175_16S_S175_R1_trimmed.fastq",5848,1383
"MP_176_16S_S176_R1_trimmed.fastq",7590,3963
"MP_177_16S_S177_R1_trimmed.fastq",12207,5527
"MP_178_16S_S178_R1_trimmed.fastq",5832,685
"MP_179_16S_S179_R1_trimmed.fastq",9728,2715
"MP_18_16S_S18_R1_trimmed.fastq",17513,10533
"MP_180_16S_S180_R1_trimmed.fastq",37326,23053
"MP_181_16S_S181_R1_trimmed.fastq",8276,2059
"MP_182_16S_S182_R1_trimmed.fastq",22448,15095
"MP_183_16S_S183_R1_trimmed.fastq",20774,12180
"MP_184_16S_S184_R1_trimmed.fastq",6598,1104
"MP_185_16S_S185_R1_trimmed.fastq",4249,373
"MP_186_16S_S186_R1_trimmed.fastq",9764,6833
"MP_187_16S_S187_R1_trimmed.fastq",3849,1022
"MP_188_16S_S188_R1_trimmed.fastq",32795,21843
"MP_189_16S_S189_R1_trimmed.fastq",7446,966
"MP_19_16S_S19_R1_trimmed.fastq",4375,703
"MP_190_16S_S190_R1_trimmed.fastq",21797,17381
