"","sampleNames","sequencing_ID","sample_ID","read.sum","time_point","date","lake","latitude","longitude","basin","sample_type","organism","Number.of.Organism","phy_group","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","elev.cat"
"01_16S","01_16S","MP_01_16S","1_Z22","  6038","1","2022-06-29","Convict","37.59009","-118.8574","South","Zooplankton","Calanoid"," 50","copepoda","2315","13.8","0.26","5.87","81.6","166.0","130.3"," 0.60",NA,NA,"Below"
"02_16S","02_16S","MP_02_16S","65_Z","  7168","3","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Cyclopoid"," 50","copepoda","3005","17.0","0.22","8.48","81.3","100.2"," 84.9"," 0.90","  79.48","  6.19","Above"
"03_16S","03_16S","MP_03_16S","95_Z","  6858","3","2022-07-21","Cooney","38.04806","-119.2770","North","Zooplankton","Cyclopoid"," 50","copepoda","3116","16.7","0.43","8.61","76.8","112.9"," 95.0"," 1.00","  84.23","369.04","Above"
"04_16S","04_16S","MP_04_16S","45_Z22","  6099","1","2022-06-29","Virginia","38.04698","-119.2651","North","Zooplankton","Cyclopoid"," 50","copepoda","2983","14.5","0.67","7.88","76.0"," 90.3"," 72.2"," 0.80"," 165.18","  4.95","Above"
"05_16S","05_16S","MP_05_16S","78_Z"," 11121","3","2022-07-21","Convict","37.59009","-118.8574","South","Zooplankton","Calanoid"," 50","copepoda","2315","18.2","0.20","8.34","76.7","164.8","143.5"," 0.80"," 103.23","204.95","Below"
"06_16S","06_16S","MP_06_16S","39_Z"," 90227","2","2022-07-09","Virginia","38.04698","-119.2651","North","Zooplankton","Calanoid"," 50","copepoda","2983","16.1","0.58","7.32","80.5"," 91.6"," 76.1"," 1.10"," 872.79",NA,"Above"
"07_16S","07_16S","MP_07_16S","31_Z22"," 12478","1","2022-06-29","Cooney","38.04806","-119.2770","North","Zooplankton","Daphnia"," 30","cladocera","3116","12.6","0.45","7.96","80.5","106.9"," 81.7"," 0.70"," 269.97"," 57.28","Above"
"09_16S","09_16S","MP_09_16S","51_Z22","  1283","1","2022-06-29","Serene","37.43839","-118.7444","South","Zooplankton","Calanoid"," 50","copepoda","3124","14.4","1.31","6.96","69.5"," 17.6"," 14.0"," 2.70"," 211.83"," 10.84","Above"
"10_16S","10_16S","MP_10_16S","4_Z","  1999","2","2022-07-09","Eastern Brook","37.43153","-118.7426","South","Zooplankton","Calanoid"," 50","copepoda","3155","16.0","0.93","8.60","73.8"," 20.6"," 17.0"," 3.40"," 409.63"," 13.62","Above"
"101_16S","101_16S","MP_101_16S","10_Z22","  1630","1","2022-06-29","Convict","37.59009","-118.8574","South","Zooplankton","Daphnia"," 20","cladocera","2315","13.8","0.26","5.87","81.6","166.0","130.3"," 0.60",NA,NA,"Below"
"102_16S","102_16S","MP_102_16S","116_Z","   735","3","2022-07-21","Serene","37.43839","-118.7444","South","Zooplankton","Calanoid"," 10","copepoda","3124","19.7","1.12","8.36","71.9"," 18.5"," 16.6"," 3.10"," 302.75"," 48.61","Above"
"104_16S","104_16S","MP_104_16S","59_Z","  6147","3","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Daphnia"," 30","cladocera","3005","17.0","0.22","8.48","81.3","100.2"," 84.9"," 0.90","  79.48","  6.19","Above"
"106_16S","106_16S","MP_106_16S","113_Z","  3303","3","2022-07-21","Serene","37.43839","-118.7444","South","Zooplankton","Calanoid"," 50","copepoda","3124","19.7","1.12","8.36","71.9"," 18.5"," 16.6"," 3.10"," 302.75"," 48.61","Above"
"109_16S","109_16S","MP_109_16S","61_Z","  1277","3","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Daphnia"," 30","cladocera","3005","17.0","0.22","8.48","81.3","100.2"," 84.9"," 0.90","  79.48","  6.19","Above"
"11_16S","11_16S","MP_11_16S","31_Z","  4628","2","2022-07-09","Virginia","38.04698","-119.2651","North","Zooplankton","Cyclopoid"," 50","copepoda","2983","16.1","0.58","7.32","80.5"," 91.6"," 76.1"," 1.10"," 872.79",NA,"Above"
"113_16S","113_16S","MP_113_16S","33_Z22"," 12431","1","2022-06-29","Cooney","38.04806","-119.2770","North","Zooplankton","Daphnia","100","cladocera","3116","12.6","0.45","7.96","80.5","106.9"," 81.7"," 0.70"," 269.97"," 57.28","Above"
"116_16S","116_16S","MP_116_16S","59_Z22","  9592","1","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Daphnia"," 30","cladocera","3005","12.8","0.34","7.97","73.8"," 97.5"," 74.7"," 0.80"," 137.16"," 22.60","Above"
"117_16S","117_16S","MP_117_16S","106_Z","  3913","3","2022-07-21","Eastern Brook","37.43153","-118.7426","South","Zooplankton","Calanoid"," 50","copepoda","3155","18.9","1.05","8.56","74.2"," 21.0"," 18.5"," 3.45"," 202.99","101.86","Above"
"118_16S","118_16S","MP_118_16S","22_Z","   652","2","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Daphnia"," 30","cladocera","3005","14.8","0.42","7.04","82.1"," 98.7"," 79.4"," 0.90"," 264.74","149.54","Above"
"119_16S","119_16S","MP_119_16S","97_Z","  2964","3","2022-07-21","Cooney","38.04806","-119.2770","North","Zooplankton","Calanoid"," 50","copepoda","3116","16.7","0.43","8.61","76.8","112.9"," 95.0"," 1.00","  84.23","369.04","Above"
"12_16S","12_16S","MP_12_16S","74_Z","   519","3","2022-07-21","Virginia","38.04698","-119.2651","North","Zooplankton","Cyclopoid"," 50","copepoda","2983","18.7","0.35","8.48","81.4"," 93.0"," 81.9"," 1.10"," 217.24","  7.74","Above"
"121_16S","121_16S","MP_121_16S","112_Z","  2007","3","2022-07-21","Serene","37.43839","-118.7444","South","Zooplankton","Calanoid"," 50","copepoda","3124","19.7","1.12","8.36","71.9"," 18.5"," 16.6"," 3.10"," 302.75"," 48.61","Above"
"122_16S","122_16S","MP_122_16S","101_Z","   612","3","2022-07-21","Eastern Brook","37.43153","-118.7426","South","Zooplankton","Daphnia"," 30","cladocera","3155","18.9","1.05","8.56","74.2"," 21.0"," 18.5"," 3.45"," 202.99","101.86","Above"
"124_16S","124_16S","MP_124_16S","98_Z","  1003","3","2022-07-21","Cooney","38.04806","-119.2770","North","Zooplankton","Calanoid"," 50","copepoda","3116","16.7","0.43","8.61","76.8","112.9"," 95.0"," 1.00","  84.23","369.04","Above"
"126_16S","126_16S","MP_126_16S","117_Z","   633","3","2022-07-21","Serene","37.43839","-118.7444","South","Zooplankton","Daphnia"," 30","cladocera","3124","19.7","1.12","8.36","71.9"," 18.5"," 16.6"," 3.10"," 302.75"," 48.61","Above"
"127_16S","127_16S","MP_127_16S","41_Z"," 15681","2","2022-07-09","Cooney","38.04806","-119.2770","North","Zooplankton","Daphnia"," 30","cladocera","3116","14.3","0.30","6.94","77.5","109.6"," 87.1"," 1.00","  74.73","  9.29","Above"
"128_16S","128_16S","MP_128_16S","110_Z","  2237","3","2022-07-21","Eastern Brook","37.43153","-118.7426","South","Zooplankton","Cyclopoid"," 50","copepoda","3155","18.9","1.05","8.56","74.2"," 21.0"," 18.5"," 3.45"," 202.99","101.86","Above"
"130_16S","130_16S","MP_130_16S","49_Z","  1970","5","2022-06-29","Blue","38.05095","-119.2703","North","Zooplankton","Daphnia"," 30","cladocera","3005","18.5","0.55","7.93","73.1","115.1"," 93.6"," 1.10",NA,NA,"Above"
"131_16S","131_16S","MP_131_16S","111_Z","  9636","3","2022-07-21","Eastern Brook","37.43153","-118.7426","South","Zooplankton","Holopedium","  8","cladocera","3155","18.9","1.05","8.56","74.2"," 21.0"," 18.5"," 3.45"," 202.99","101.86","Above"
"132_16S","132_16S","MP_132_16S","48_Z22","  1108","1","2022-06-29","Virginia","38.04698","-119.2651","North","Zooplankton","Cyclopoid"," 98","copepoda","2983","14.5","0.67","7.88","76.0"," 90.3"," 72.2"," 0.80"," 165.18","  4.95","Above"
